name;address;lat;lng;Whatsapp;Site
DAHRUJ BRAZ LEME;02511-000 Avenida Braz Leme 410 Casa Verde SP São Paulo;-235.112.752;-466.527.888;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
DAHRUJ CAMPINAS;13090-615 Avenida José de Souza Campos 2256 Chácara da Barra SP Campinas;-228.859.365;-470.438.035;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
DAHRUJ INDAIATUBA;13338-705 Av. Presidente Vargas 3138 Vila Homero SP Indaiatuba;-230.866.168;-4.718.169.289.999.990;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
DAHRUJ JUNDIAI;13215-010 Av. Antonio Frederico Ozanan 3900 PONTE DE SÃO JOAO SP Jundiaí;-231.818.277;-468.773.013;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
DAHRUJ LIMEIRA;13486-190 Avenida Major José Levy Sobrinho 2565 Jardim Nereide SP Limeira;-225.498.669;-473.795.316;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
DAHRUJ PIRACICABA;13420-355 Avenida Doutor Cássio Paschoal Padovani 861 Morumbi SP Piracicaba;-227.276.058;-476.195.242;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
DAHRUJ VILA LEOPOLDINA;05314-000 Avenida Doutor Gastão Vidigal 1687 Vila Leopoldina SP São Paulo;-235.320.864;-4.673.569.639.999.990;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
DESTAQUE CARAGUATATUBA;11672-150 Rua Ministro Dilson Funaro 425 Pontal de Santa Marina SP Caraguatatuba;-23.648.041;-454.319.001;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
DESTAQUE MOGI DAS CRUZES;08735-000 Av. Fernando Costa 863 CENTRO SP Mogi das Cruzes;-235.319.998;-462.078.841;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
DESTAQUE POA;08557-700 Rodovia João Afonso de Souza Castelano 2040 VILA LUCIA SP Poá;-235.097.041;-463.408.266;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
