linha_origem;name;endereco_original;lat_original;lng_original;lat_corrigida;lng_corrigida;cidade;uf;cep;endereco_para_dsp
76;FORT FORTALEZA;60192-024 Av. Santos Dumont 7580 coco CE Fortaleza;-37.457.722;-384.690.107;-3.745772;-38.469011;Fortaleza;CE;60192024;Av Santos Dumont 7580 coco Fortaleza CE 60192024 Brazil
77;FORT JUAZEIRO;63050-423 Av. Padre Cícero 4747 São José CE Juazeiro do Norte;-7.227.830.200.000.000;-393.507.558;-7.22783;-39.350756;Juazeiro do Norte;CE;63050423;Av Padre Cicero 4747 Sao Jose Juazeiro do Norte CE 63050423 Brazil
78;FORT MOSSORO;59619-000 Avenida Lauro Monte 80 Abolição RN Mossoró;-51.711.263;-373.476.471;-5.171126;-37.347647;Mossoró;RN;59619000;Avenida Lauro Monte 80 Abolicao Mossoro RN 59619000 Brazil
79;GLOBO BALNEÁRIO CAMBORIÚ;88330-663 Av. do Estado Dalmo Vieira 5101 Centro SC Balneário Camboriú;-269.985.956;-4.864.528.929.999.990;-26.998596;-48.645289;Balneário Camboriú;SC;88330663;Av do Estado Dalmo Vieira 5101 Centro Balneario Camboriu SC 88330663 Brazil
80;GLOBO CURITIBA;80045-125 Rua XV de Novembro 2300 ALTO DA RUA XV PR Curitiba;-254.271.569;-49.251.912;-25.427157;-49.251912;Curitiba;PR;80045125;Rua XV de Novembro 2300 ALTO DA RUA XV Curitiba PR 80045125 Brazil
81;GLOBO FLORIANÓPOLIS;88070-800 Rua General Liberato Bittencourt 1475 Estreito SC Florianópolis;-275.868.887;-485.814.047;-27.586889;-48.581405;Florianópolis;SC;88070800;Rua General Liberato Bittencourt 1475 Estreito Florianopolis SC 88070800 Brazil
82;GLOBO ITAJAI;88306-000 Rod. Osvaldo Reis 460 FAZENDINHA SC Itajaí;-269.267.363;-486.470.726;-26.926736;-48.647073;Itajaí;SC;88306000;Rod Osvaldo Reis 460 FAZENDINHA Itajai SC 88306000 Brazil
83;GLOBO S J PINHAIS;83005-450 Av. das Torres 2344 SÃO PEDRO PR São José dos Pinhais;-255.434.301;-49.191.735;-25.54343;-49.191735;São José dos Pinhais;PR;83005450;Av das Torres 2344 SAO PEDRO Sao Jose dos Pinhais PR 83005450 Brazil
84;GLOBO SAO JOSE;88102-650 Rua Joaquim Vaz 1615 PRAIA COMPRIDA SC São José;-276.043.811;-48.622.301;-27.604381;-48.622301;São José;SC;88102650;Rua Joaquim Vaz 1615 PRAIA COMPRIDA Sao Jose SC 88102650 Brazil
85;GRAND PREMIER BRASILIA;71200-010 Sia Sul Trecho 02 Lotes 90 a 170 90 SETOR DE INDUSTRIA DF Brasília;-158.079.351;-479.621.832;-15.807935;-47.962183;Brasília;DF;71200010;Sia Sul Trecho 02 Lotes 90 a 170 90 SETOR DE INDUSTRIA Brasilia DF 71200010 Brazil
86;GRANJAPAN PETROLINA;56304-160 Av. Monsenhor Angelo Sampaio 218 CENTRO PE Petrolina;-93.949.237;-404.898.073;-9.394924;-40.489807;Petrolina;PE;56304160;Av Monsenhor Angelo Sampaio 218 CENTRO Petrolina PE 56304160 Brazil
87;IESA AV TARSO DUTRA;90690-140 Av. Senador Tarso Dutra 285 PETRÓPOLIS RS Porto Alegre;-300.413.102;-511.736.866;-30.04131;-51.173687;Porto Alegre;RS;90690140;Av Senador Tarso Dutra 285 PETROPOLIS Porto Alegre RS 90690140 Brazil
88;IESA AV. WENCESLAU ESCOBAR;91900-000 Avenida Wenceslau Escobar 1204 Cristal RS Porto Alegre;-3.010.114.299.999.990;-51.248.862;-30.101143;-51.248862;Porto Alegre;RS;91900000;Avenida Wenceslau Escobar 1204 Cristal Porto Alegre RS 91900000 Brazil
89;IESA CANOAS;92010-011 Av. Getúlio Vargas 6443 CENTRO RS Canoas;-299.084.609;-511.767.753;-29.908461;-51.176775;Canoas;RS;92010011;Av Getulio Vargas 6443 CENTRO Canoas RS 92010011 Brazil
90;IESA CHAPECÓ;89804-060 Rua Tiradentes 131 São Cristóvão SC Chapecó;-270.795.753;-526.248.635;-27.079575;-52.624863;Chapecó;SC;89804060;Rua Tiradentes 131 Sao Cristovao Chapeco SC 89804060 Brazil
91;IESA ERECHIM;99709-200 BR-153 15 Fátima RS Erechim;-276.531.132;-522.618.133;-27.653113;-52.261813;Erechim;RS;99709200;BR 153 15 Fatima Erechim RS 99709200 Brazil
92;IESA FLORIANÓPOLIS;88035000 Avenida Madre Benvenuta 687 Santa Mônica SC Florianópolis;-27.590.134;-485.148.157;-27.590134;-48.514816;Florianópolis;SC;88035000;Avenida Madre Benvenuta 687 Santa Monica Florianopolis SC 88035000 Brazil
93;IESA GRAVATAÍ;94090-720 Rodovia RS-020 110 Vera Cruz RS Gravataí;-299.293.725;-510.610.776;-29.929372;-51.061078;Gravataí;RS;94090720;Rodovia RS 020 110 Vera Cruz Gravatai RS 94090720 Brazil
94;IESA NOVO HAMBURGO;93334-300 Estrada BR 116 496 IDEAL RS Novo Hamburgo;-297.104.957;-511.473.361;-29.710496;-51.147336;Novo Hamburgo;RS;93334300;Estrada BR 116 496 IDEAL Novo Hamburgo RS 93334300 Brazil
95;IESA OSORIO;95520-000 Rodovia BR 101 1100 Centro RS Osório;-298.885.765;-502.765.752;-29.888576;-50.276575;Osório;RS;95520000;Rodovia BR 101 1100 Centro Osorio RS 95520000 Brazil
96;IESA SOUZA REIS;90240-650 Rua Souza Reis 365 São João RS Porto Alegre;-30.003.732;-511.896.693;-30.003732;-51.189669;Porto Alegre;RS;90240650;Rua Souza Reis 365 Sao Joao Porto Alegre RS 90240650 Brazil
97;IESA TUBARÃO;88708285 Rua Januário Corrêa Bittencourt 443 Vila Esperança SC Tubarão;-284.682.627;-490.120.563;-28.468263;-49.012056;Tubarão;SC;88708285;Rua Januario Correa Bittencourt 443 Vila Esperanca Tubarao SC 88708285 Brazil
98;ITAIMBE PASSO FUNDO;99034-600 Rodovia RS-153 391 Santa Marta RS Passo Fundo;-282.737.117;-524.436.332;-28.273712;-52.443633;Passo Fundo;RS;99034600;Rodovia RS 153 391 Santa Marta Passo Fundo RS 99034600 Brazil
99;ITAIMBE PELOTAS;96055-005 Av. Fernando Osório 125 CENTRO RS Pelotas;-317.497.242;-523.407.474;-31.749724;-52.340747;Pelotas;RS;96055005;Av Fernando Osorio 125 CENTRO Pelotas RS 96055005 Brazil
100;ITAIMBE SANTA MARIA;97095-465 Av. João Pozzobon 1605 KM 3 RS Santa Maria;-296.936.388;-537.818.501;-29.693639;-53.78185;Santa Maria;RS;97095465;Av Joao Pozzobon 1605 KM 3 Santa Maria RS 97095465 Brazil
101;JADE FEIRA DE SANTANA;44088-451 Avenida Presidente Dutra 2677 Capuchinhos BA Feira de Santana;-122.677.166;-389.423.034;-12.267717;-38.942303;Feira de Santana;BA;44088451;Avenida Presidente Dutra 2677 Capuchinhos Feira de Santana BA 44088451 Brazil
