linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
173;;;endereco;Applebee's, Marechal Rondon, Canoas - RS, Brasil;Applebee s Marechal Rondon Canoas RS Brazil;Canoas;RS;;-29.91507;-51.1651;-29.91507;-51.1651;;ALTO;sem numero de porta
174;;;endereco;SKETCH, Avenida Cristiano Machado, 4000, União, Belo Horizonte - MG, Brasil;Avenida Cristiano Machado 4000 Belo Horizonte MG Brazil;Belo Horizonte;MG;;-19.87424;-43.92576;-19.87424;-43.92576;União;;
175;;;endereco;Popeyes LOUISIANA KITCHEN, Rua Sete de Setembro, 555, Suzano - SP, Brasil;Rua Sete de Setembro 555 Suzano SP Brazil;Suzano;SP;;-23.54234;-46.31831;-23.54234;-46.31831;;;
176;;;endereco;Poupatempo Mogi Guaçu, Rua Interna, Mogi Guaçu - SP, Brasil;Rua Interna Mogi Guacu SP Brazil;Mogi Guaçu;SP;;-22.37623;-46.94446;-22.37623;-46.94446;;ALTO;sem numero de porta
177;;;endereco;Oy Frei Caneca, Rua Frei Caneca, 641, Bela Vista, São Paulo - SP, 01307-001, Brasil;Rua Frei Caneca 641 Sao Paulo SP 01307001 Brazil;São Paulo;SP;01307001;-23.55366;-46.65332;-23.55366;-46.65332;Bela Vista;;
178;;;endereco;Lion Assistência Tecni, Avenida Raimundo Pereira de Magalhães, 1717, Pirituba, São Paulo - SP, 05145-000, Brasil;Avenida Raimundo Pereira de Magalhaes 1717 Sao Paulo SP 05145000 Brazil;São Paulo;SP;05145000;-23.50597;-46.7173;-23.50597;-46.7173;Pirituba;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
179;;;endereco;Óticas DINIZ, Avenida Vereador Narciso Yague Guimarães, 1001, Mogi das Cruzes - SP, 08780-440, Brasil;Avenida Vereador Narciso Yague Guimaraes 1001 Mogi das Cruzes SP 08780440 Brazil;Mogi das Cruzes;SP;08780440;-23.51647;-46.17898;-23.51647;-46.17898;;;
180;;;endereco;Estrada da Represa, Campo Grande, Rio de Janeiro - RJ, Brasil;Estrada da Represa Campo Grande Rio de Janeiro RJ Brazil;Rio de Janeiro;RJ;;-22.93502;-43.51825;-22.93502;-43.51825;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta"
181;;;endereco;R. Palestra Itália, 2077 Garage, Rua Palestra Itália, 2077, Perdizes, São Paulo - SP, 05005-001, Brasil;Rua Palestra Italia 2077 Sao Paulo SP 05005001 Brazil;São Paulo;SP;05005001;-23.52635;-46.68111;-23.52635;-46.68111;Perdizes;;
182;;;endereco;Rua Treze de Maio, 1933, Bela Vista, São Paulo - SP, 04849-529, Brasil;Rua Treze de Maio 1933 Sao Paulo SP 04849529 Brazil;São Paulo;SP;04849529;-23.57042;-46.64375;-23.57042;-46.64375;Bela Vista;;
