linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
93;;;endereco;Centro de Treinamento do Oitavo Batalhão de Bombeiros Militar de Minas Gerais, Uberaba - MG, 38064-300, Brasil;Centro de Treinamento do Oitavo Batalhao de Bombeiros Militar de Minas Gerais Uberaba MG 38064300 Brazil;Uberaba;MG;38064300;-19.70519;-47.97101;-19.70519;-47.97101;;ALTO;sem numero de porta
94;;;endereco;Avenida Doutor Irineu Gonçalves da Silva, 1200, Campos do Jordão - SP, 12460-000, Brasil;Avenida Doutor Irineu Goncalves da Silva 1200 Campos do Jordao SP 12460000 Brazil;Campos do Jordão;SP;12460000;-22.71768;-45.57776;-22.71768;-45.57776;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
95;;;endereco;Sequoia Wellness Pousada do Quilombo, São Bento do Sapucaí - SP, 12490-000, Brasil;Sequoia Wellness Pousada do Quilombo Sao Bento do Sapucai SP 12490000 Brazil;São Bento do Sapucaí;SP;12490000;-22.68064;-45.7308;-22.68064;-45.7308;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
96;;;endereco;Red Eventos, Jaguariúna - SP, 13820-000, Brasil;Red Eventos Jaguariuna SP 13820000 Brazil;Jaguariúna;SP;13820000;-22.70741;-47.01155;-22.70741;-47.01155;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
97;;;endereco;Via Unimed, Jardim Belvedere, Volta Redonda - RJ, Brasil;Via Unimed Jardim Belvedere Volta Redonda RJ Brazil;Volta Redonda;RJ;;-22.5342;-44.07696;-22.5342;-44.07696;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta"
98;;;endereco;Rua Nilton Coelho de Andrade, 891, Vila Maria, São Paulo - SP, 02167-010, Brasil;Rua Nilton Coelho de Andrade 891 Sao Paulo SP 02167010 Brazil;São Paulo;SP;02167010;-23.51715;-46.57925;-23.51715;-46.57925;Vila Maria;;
99;;;endereco;Rua Maestro Cardim, 642, Bela Vista, São Paulo - SP, 01323-001, Brasil;Rua Maestro Cardim 642 Sao Paulo SP 01323001 Brazil;São Paulo;SP;01323001;-23.56648;-46.64229;-23.56648;-46.64229;Bela Vista;;
100;;;endereco;Harman, Rua Cincinato Braga, 340, Bela Vista, São Paulo - SP, 01333-020, Brasil;Rua Cincinato Braga 340 Sao Paulo SP 01333020 Brazil;São Paulo;SP;01333020;-23.56798;-46.64595;-23.56798;-46.64595;Bela Vista;;
101;;;endereco;Grupo Ambipar Nova Odessa, Nova Odessa - SP, 13460-000, Brasil;Grupo Ambipar Nova Odessa Nova Odessa SP 13460000 Brazil;Nova Odessa;SP;13460000;-22.76013;-47.2541;-22.76013;-47.2541;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
102;;;endereco;Praça Vicente Rodrigues, 90, Butantã, São Paulo - SP, 05510-050, Brasil;Praca Vicente Rodrigues 90 Sao Paulo SP 05510050 Brazil;São Paulo;SP;05510050;-23.56799;-46.70822;-23.56799;-46.70822;Butantã;;
