severidade;linha;nome;endereco_dsp;risco
ALTO;250;;Rua Deputado Mario de Barros Centro Civico Curitiba PR 80530280 Brazil;sem numero de porta
ALTO;251;;Rodovia Br476 Pista Lateral Bairro Alto BR 476 Bairro Alto Curitiba PR 82840120 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;252;;PR 090 Bateias Campo Largo PR Brazil;sem numero de porta
ALTO;253;;Esquenta Corridas Santo Inacio Curitiba PR Brazil;sem numero de porta
MEDIO;12;;Rua Santa Catarina 819 Ascurra SC 89138000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;15;;Rua Cherne 464 Bombinhas SC 88215000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;19;;Avenida Emanoel Pinto 367 Balneario Picarras SC 88380000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;25;;Avenida Protasio Alves 127 Porto Alegre RS 90410000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;31;;Rua Jose Rodrigues Fortes 526 Quatro Barras PR 83420000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;37;;Rua das Industrias 1702 Apiai SP 18320000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;43;;Rua Joaquim Floriano 72 Sao Paulo SP 04534000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;46;;Avenida Presidente Wilson 84 Sao Paulo SP 03107000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;47;;Alameda Santos 65 Sao Paulo SP 01419000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;50;;Rua Amauri 255 Sao Paulo SP 01448000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;56;;Rua Doutor Veiga Filho 778 Sao Paulo SP 01229000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;62;;Rua Santos Dumont 317 Jataizinho PR 86210000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
