severidade;linha;nome;endereco_dsp;risco
ALTO;914;;Ruff Distribuidora de Combustiveis Loteamento Residencial Vila Bella Campinas SP 13087725 Brazil;sem numero de porta
ALTO;919;;Rua Doutor Cesar Paranhos de Godoy Jardim Chapadao Campinas SP 13070075 Brazil;sem numero de porta
ALTO;925;;Praca Capital Campinas SP Brazil;sem numero de porta
ALTO;934;;Avenida Cassiano Ricardo Jardim Cassiano Ricardo Sao Jose dos Campos SP 12240540 Brazil;sem numero de porta
ALTO;940;;Jardim Paulista Sao Paulo SP 01419001 Brazil;sem numero de porta
MEDIO;4;;Rua da Independencia 165 Sao Paulo SP 01524000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;23;;Rua Joaquim Floriano 72 Sao Paulo SP 04534000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;32;;Rua Domingos de Morais 336 Sao Paulo SP 04010000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;34;;Avenida Doutor Moraes Salles 688 Campinas SP 13010000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;48;;Avenida dos Imigrantes 415A Vinhedo SP 13280000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;51;;Rua Tamekichi Takano 595 Registro SP 11900000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;55;;Avenida Sete de Setembro 4690 Curitiba PR 80240000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;74;;Rua Leoberto Leal 440 Papanduva SC 89370000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;80;;Rua Libero Badaro 398 Sao Paulo SP 01008000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;82;;Rua Visconde do Rio Branco 11A Monte Mor SP 13190000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;86;;Rua Romano Anselmo Fontana 839 Concordia SC 89700000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;92;;Rua Herculano Hercules Zanuzzo 500 Seara SC 89770000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;95;;Rua Coronel Farrapo 555 Campos Novos SC 89620000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;99;;Rua Barao do Rio Branco 120 Casca RS 99260000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;109;;Avenida Presidente Wenceslau Braz 1902 Curitiba PR 81010000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;124;;Rua General Osorio 1032 Ibiruba RS 98200000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;125;;Avenida Marechal Floriano Peixoto 1256 Soledade RS 99300000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
