name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata,POI,Estado,Latitude,Longitude,Radius Distance
,,,"Rua Floriano Peixoto, 55, Centro, Blumenau - SC, 89010-506, Brasil",Blumenau,,SC,,89010-506,-26.92195,-49.06327,,,,,,Concessionárias,Demais Praças,-26.9219758,-49.063246,0.3
,,,"Rua Clodomiro Amazonas, 1016, Itaim Bibi, São Paulo - SP, 04537-002, Brasil",São Paulo,,SP,,04537-002,-23.59316,-46.67745,,,,,,Concessionárias,SP,-23.5931567,-46.6774487,0.3
,,,"Rodovia Governador Leonel de Moura Brizola, Imigrante, Lajeado - RS, Brasil",Lajeado,,RS,,,-29.42919,-52.01604,,,,,,Concessionárias,Demais Praças,-29.42881179999999,-52.0157393,0.3
,,,"Avenida da Azenha, 1711, Azenha, Porto Alegre - RS, 90160-003, Brasil",Porto Alegre,,RS,,90160-003,-30.05855,-51.21654,,,,,,Concessionárias,Demais Praças,-30.0585407,-51.2167956,0.3
,,,"Ponto De Carregamento Para Veículos Elétricos, Avenida Ruben Bento Alves, 7539, Santa Catarina, Caxias do Sul - RS, 95112-467, Brasil",Caxias do Sul,,RS,,95112-467,-29.16875,-51.21408,,,,,,Concessionárias,Demais Praças,-29.1687465,-51.2140687,0.3
,,,"Rua Jacob Luchesi, 5038, Santa Catarina, Caxias do Sul - RS, 95032-000, Brasil",Caxias do Sul,,RS,,95032-000,-29.14398,-51.22699,,,,,,Concessionárias,Demais Praças,-29.1445132,-51.2271166,0.3
,,,"Avenida Presidente Vargas, 1829, São Cristóvão, Passo Fundo - RS, 99070-970, Brasil",Passo Fundo,,RS,,99070-970,-28.27145,-52.38638,,,,,,Concessionárias,Demais Praças,-28.2714918,-52.3864105,0.3
,,,"Gdm Seeds, Passo Fundo - RS, 99052-840, Brasil",Passo Fundo,,RS,,99052-840,-28.2136,-52.35763,,,,,,Concessionárias,Demais Praças,-28.214291,-52.3578681,0.3
,,,"BR-470, Navegantes, Rio do Sul - SC, 89160-000, Brasil",Rio do Sul,,SC,,89160-000,-27.17772,-49.59401,,,,,,Concessionárias,Demais Praças,-27.177809,-49.593926,0.3
,,,"Rua Professor Max Humpl, 601, Salto do Norte, Blumenau - SC, 89065-500, Brasil",Blumenau,,SC,,89065-500,-26.86838,-49.10569,,,,,,Concessionárias,Demais Praças,-26.8681668,-49.1055754,0.3
,,,"PR-364, Jardim das Américas, Guarapuava - PR, 85030-230, Brasil",Guarapuava,,PR,,85030-230,-25.38562,-51.51431,,,,,,Concessionárias,Demais Praças,-25.3856443,-51.5142874,0.3
,,,"Volvo, Rua Jerônimo Durski, 925, Campina do Siqueira, Curitiba - PR, 80730-270, Brasil",Curitiba,,PR,,80730-270,-25.43945,-49.30102,,,,,,Concessionárias,Demais Praças,-25.4394417,-49.3011287,0.3
