Latitude,Longitude,Radius Distance,Estado,POI
-23.7913986,-46.5484768,0.3,SP,Marinas
-27.011298,-48.628303,0.3,Demais Praças,Marinas
-26.188547,-48.571242,0.3,Demais Praças,Marinas
-16.2527168,-47.92581261,0.3,Demais Praças,Marinas
-30.1115332,-51.6307505,0.3,Demais Praças,Marinas
-23.489688,-45.074689,0.3,SP,Marinas
-23.1815565,-46.3978706,0.3,SP,Marinas
-26.207764,-48.801364,0.3,Demais Praças,Marinas
-27.012089,-48.627467,0.3,Demais Praças,Marinas
-30.00551535,-51.25841464,0.3,Demais Praças,Marinas
-21.2329671,-49.6455916,0.3,SP,Marinas
-27.7592083,-48.5694693,0.3,Demais Praças,Marinas
-15.8208752,-47.8812509,0.3,Demais Praças,Marinas
-25.018727,-47.926466,0.3,SP,Marinas
-22.7340214,-53.0407335,0.3,Demais Praças,Marinas
-20.7616599,-45.9219446,0.3,Demais Praças,Marinas
-22.1796642,-47.8888643,0.3,SP,Marinas
-19.8664968,-47.4407846,0.3,Demais Praças,Marinas
-20.7635597,-45.915665,0.3,Demais Praças,Marinas
-22.66616655,-53.09034482,0.3,Demais Praças,Marinas
-20.3395373,-49.1920033,0.3,SP,Marinas
-25.531573,-48.51855,0.3,Demais Praças,Marinas
-25.51801,-48.545771,0.3,Demais Praças,Marinas
-23.004335,-44.235554,0.3,Demais Praças,Marinas
-20.0830687,-47.4215714,0.3,SP,Marinas
-23.686036,-46.716341,0.3,SP,Marinas
-22.782332,-41.963238,0.3,Demais Praças,Marinas
-15.8212522,-47.8814209,0.3,Demais Praças,Marinas
-26.772591,-48.676117,0.3,Demais Praças,Marinas
-27.4697207,-48.6402508,0.3,Demais Praças,Marinas
-23.6601008,-47.223489,0.3,SP,Marinas
-22.717719,-53.1718325,0.3,Demais Praças,Marinas
-27.153132,-48.539631,0.3,Demais Praças,Marinas
-21.4093821,-45.8290502,0.3,Demais Praças,Marinas
-22.9598984,-44.0413146,0.3,Demais Praças,Marinas
-22.9292618,-46.2753862,0.3,SP,Marinas
-25.517564,-48.502585,0.3,Demais Praças,Marinas
-22.8247037,-53.2198492,0.3,Demais Praças,Marinas
-26.0713285,-48.6177384,0.3,Demais Praças,Marinas
-26.0713285,-48.6177384,0.3,Demais Praças,Marinas
-20.5849457,-46.9191613,0.3,Demais Praças,Marinas
-26.221318,-48.821812,0.3,Demais Praças,Marinas
-27.0096164,-48.6130822,0.3,Demais Praças,Marinas
-26.891487,-49.004251,0.3,Demais Praças,Marinas
-30.0009406,-51.2611372,0.3,Demais Praças,Marinas
-17.7403188,-48.6318126,0.3,Demais Praças,Marinas
-22.870539,-42.047594,0.3,Demais Praças,Marinas
-23.981734,-46.213548,0.3,SP,Marinas
-23.2167338,-46.14158014,0.3,SP,Marinas
-20.640705,-51.103789,0.3,SP,Marinas
-20.179973,-48.0309631,0.3,SP,Marinas
-26.7545181,-48.6876224,0.3,Demais Praças,Marinas
-22.7707592,-53.2676397,0.3,Demais Praças,Marinas
-23.7555238,-45.4123661,0.3,SP,Marinas
-23.54661,-45.231814,0.3,SP,Marinas
-29.923528,-51.201142,0.3,Demais Praças,Marinas
-23.800262,-45.364575,0.3,SP,Marinas
-20.0807296,-47.4295515,0.3,SP,Marinas
-24.1817994,-46.7850334,0.3,SP,Marinas
-21.3544405,-51.856666,0.3,SP,Marinas
-23.1815565,-46.3978706,0.3,SP,Marinas
-26.612179,-48.67953,0.3,Demais Praças,Marinas
-25.569606,-48.355769,0.3,Demais Praças,Marinas
-24.015328,-46.438593,0.3,SP,Marinas
-27.613839,-48.484686,0.3,Demais Praças,Marinas
-22.900085,-42.065583,0.3,Demais Praças,Marinas
-26.4565112,-48.6130755,0.3,Demais Praças,Marinas
-27.007047,-48.623215,0.3,Demais Praças,Marinas
-16.1976908,-48.7060608,0.3,Demais Praças,Marinas
-27.0960682,-48.6178074,0.3,Demais Praças,Marinas
-22.771402,-53.266063,0.3,Demais Praças,Marinas
-23.009796,-43.300903,0.3,Demais Praças,Marinas
-23.97754048,-46.39757885,0.3,SP,Marinas
-22.2318862,-43.1141413,0.3,Demais Praças,Golf Clubs
-29.698193,-53.783295,0.3,Demais Praças,Golf Clubs
-23.5700715,-46.8786955,0.3,SP,Golf Clubs
-20.026872,-43.933938,0.3,Demais Praças,Golf Clubs
-22.3951627,-42.9860396,0.3,Demais Praças,Golf Clubs
-29.6858441,-53.8088936,0.3,Demais Praças,Golf Clubs
-30.19063063,-51.17267766,0.3,Demais Praças,Golf Clubs
-22.8888234,-47.0490418,0.3,SP,Golf Clubs
