linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
27;;;endereco (numero de coluna propria);Estrada dos Três Rios, 243, Freguesia (Jacarepaguá), Rio de Janeiro - RJ, 22745-004, Brasil;Estrada dos Tres Rios 271 Rio de Janeiro RJ 22745004 Brazil;Rio de Janeiro;RJ;22745004;-22.939;-43.34132;-22.939;-43.34132;243 Freguesia (Jacarepaguá);ALTO;endereco de rodovia (57-67% falharam)
28;;;endereco (numero de coluna propria);Avenida Ataulfo de Paiva, 734, Leblon, Rio de Janeiro - RJ, 22440-033, Brasil;Avenida Ataulfo de Paiva 725 Rio de Janeiro RJ 22440033 Brazil;Rio de Janeiro;RJ;22440033;-22.98418;-43.2229;-22.98418;-43.2229;734 Leblon;;
29;;;endereco (numero de coluna propria);Rua Conde de Bonfim, 251, Tijuca, Rio de Janeiro - RJ, 20520-051, Brasil;Rua Conde de Bonfim 240 Rio de Janeiro RJ 20520051 Brazil;Rio de Janeiro;RJ;20520051;-22.92378;-43.22944;-22.92378;-43.22944;251 Tijuca;;
30;;;endereco (numero de coluna propria);Rua Visconde de Pirajá, 306, Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil;Rua Visconde de Piraja 287 Rio de Janeiro RJ 22410003 Brazil;Rio de Janeiro;RJ;22410003;-22.98413;-43.20395;-22.98413;-43.20395;306 Ipanema;;
31;;;endereco (numero de coluna propria);Rua das Laranjeiras, 259, Laranjeiras, Rio de Janeiro - RJ, 22240-003, Brasil;Rua das Laranjeiras 251 Rio de Janeiro RJ 22240003 Brazil;Rio de Janeiro;RJ;22240003;-22.93449;-43.18714;-22.93449;-43.18714;259 Laranjeiras;;
32;;;endereco (numero de coluna propria);Avenida Rio Branco, 26, Centro, Rio de Janeiro - RJ, 20090-001, Brasil;Avenida Rio Branco 26 Rio de Janeiro RJ 20090001 Brazil;Rio de Janeiro;RJ;20090001;-22.89911;-43.18015;-22.89911;-43.18015;Centro;;
33;;;endereco;Rua Visconde de Pirajá, 220, Ipanema, Rio de Janeiro - RJ, 22410-000, Brasil;Rua Visconde de Piraja 220 Rio de Janeiro RJ 22410000 Brazil;Rio de Janeiro;RJ;22410000;-22.98424;-43.20133;-22.98424;-43.20133;Ipanema;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
34;;;endereco (numero de coluna propria);Rua Frei Leandro, 8, Lagoa, Rio de Janeiro - RJ, 22470-210, Brasil;Rua Frei Leandro 15 Rio de Janeiro RJ 22470210 Brazil;Rio de Janeiro;RJ;22470210;-22.96085;-43.2067;-22.96085;-43.2067;8 Lagoa;;
35;;;endereco (numero de coluna propria);Rua Visconde de Pirajá, 389, Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil;Rua Visconde de Piraja 381 Rio de Janeiro RJ 22410003 Brazil;Rio de Janeiro;RJ;22410003;-22.9843;-43.20676;-22.9843;-43.20676;389 Ipanema;;
36;;;endereco (numero de coluna propria);Avenida Vieira Souto, Ipanema, Rio de Janeiro - RJ, 22420-008, Brasil;Avenida Vieira Souto Ipanema Rio de Janeiro RJ 22420008 Brazil;Rio de Janeiro;RJ;22420008;-22.98623;-43.21153;-22.98623;-43.21153;;ALTO;sem numero de porta
37;;;endereco (numero de coluna propria);Rua Maria Quitéria, Ipanema, Rio de Janeiro - RJ, 21850-080, Brasil;Rua Maria Quiteria 450 Rio de Janeiro RJ 21850080 Brazil;Rio de Janeiro;RJ;21850080;-22.9864;-43.20728;-22.9864;-43.20728;Ipanema;;
38;;;endereco (numero de coluna propria);Avenida Ataulfo de Paiva, 50, Leblon, Rio de Janeiro - RJ, 22440-033, Brasil;Avenida Ataulfo de Paiva 623 Rio de Janeiro RJ 22440033 Brazil;Rio de Janeiro;RJ;22440033;-22.98315;-43.21581;-22.98315;-43.21581;50 Leblon;;
39;;;endereco;Avenida Rio Branco, 115, Centro, Rio de Janeiro - RJ, 20040-004, Brasil;Avenida Rio Branco 115 Rio de Janeiro RJ 20040004 Brazil;Rio de Janeiro;RJ;20040004;-22.90339;-43.17802;-22.90339;-43.17802;Centro;;
40;;;endereco (numero de coluna propria);Rua Visconde de Maranguape, 51, Lapa, Rio de Janeiro - RJ, 20021-390, Brasil;Rua Visconde de Maranguape 51 Rio de Janeiro RJ 20021390 Brazil;Rio de Janeiro;RJ;20021390;-22.9143;-43.17842;-22.9143;-43.17842;Lapa;;
