name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata,Nº,Praça,Formato,Veículo,Endereço,Latitude,Longitude
,,,"Rua Barata Ribeiro, 717, Copacabana, Rio de Janeiro - RJ, 22051-001, Brasil",Rio de Janeiro,,RJ,,22051-001,-22.97483,-43.19163,,,,,,717,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Barata Ribeiro,-22.974857,-43.1915673
,,,"Rua Barata Ribeiro, 752, Copacabana, Rio de Janeiro - RJ, 22051-001, Brasil",Rio de Janeiro,,RJ,,22051-001,-22.97553,-43.19237,,,,,,752,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Barata Ribeiro,-22.9754974,-43.1923812
,,,"Avenida Nossa Senhora de Copacabana, 1334, Copacabana, Rio de Janeiro - RJ, 22070-011, Brasil",Rio de Janeiro,,RJ,,22070-011,-22.98426,-43.19064,,,,,,1334,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Nossa Senhora de Copacabana,-22.9844383,-43.1908699
,,,"People 9 Comunicação, Avenida Nossa Senhora de Copacabana, 122, Copacabana, Rio de Janeiro - RJ, 22020-002, Brasil",Rio de Janeiro,,RJ,,22020-002,-22.96436,-43.17541,,,,,,120,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Nossa Senhora de Copacabana,-22.9642659,-43.1754602
,,,"Rua Muniz Barreto, 701, Botafogo, Rio de Janeiro - RJ, 22251-090, Brasil",Rio de Janeiro,,RJ,,22251-090,-22.94795,-43.18421,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Professor Alfredo Gomes,-22.9478576,-43.1842355
,,,"Rua São Clemente, 67, Botafogo, Rio de Janeiro - RJ, 22260-001, Brasil",Rio de Janeiro,,RJ,,22260-001,-22.94932,-43.18424,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua São Clemente,-22.9492871,-43.1842153
,,,"Rua Marquês de Abrantes, 91, Flamengo, Rio de Janeiro - RJ, 22230-061, Brasil",Rio de Janeiro,,RJ,,22230-061,-22.93636,-43.17718,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Marquês de Abrantes,-22.9362668,-43.177318
,,,"Rua Pinheiro Guimarães, 10, Botafogo, Rio de Janeiro - RJ, 22281-080, Brasil",Rio de Janeiro,,RJ,,22281-080,-22.95797,-43.19175,,,,,,8a,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Pinheiro Guimarães,-22.9579969,-43.1916812
,,,"Gastronomia, Rua Governador Irineu Bornhausen, Flamengo, Rio de Janeiro - RJ, Brasil",Rio de Janeiro,,RJ,,,-22.93037,-43.17745,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua do Catete,-22.93035727,-43.17755225
,,,"Galvão Lombardi da Silveira Psicologia Especializada, Rua Voluntários da Pátria, 450, Humaitá, Rio de Janeiro - RJ, 22271-042, Brasil",Rio de Janeiro,,RJ,,22271-042,-22.95583,-43.19666,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Voluntários da Pátria,-22.9557138,-43.1965978
