linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
65;DRSUL SANTA CRUZ DO SUL;;endereco;96845-545 Rod BR 471- KM 56 3510 SCHULZ RS Santa Cruz do Sul;Rodovia BR 471 3510 Santa Cruz do Sul RS 96845545 Brazil;Santa Cruz do Sul;RS;96845545;-297.153.084;-524.454.538;-29.715308;-52.445454;SCHULZ;ALTO;endereco de rodovia (57-67% falharam)
66;DUBAI MACAPA;;reenviado (ja aprovado pela DSP);68900-067 Rua Leopoldo Machado 1749 Central AP Macapá;Rua Leopoldo Machado 1749 Central Macapa AP 68900067 Brazil;Macapá;AP;68900067;0.0365384;-510.620.663;0.036538;-51.062066;;;
67;EUROVIA PARALELA;;endereco;41730-101 Avenida Luís Viana 6600 Paralela BA Salvador;Avenida Luis Viana 6600 Salvador BA 41730101 Brazil;Salvador;BA;41730101;-129.399.153;-384.105.405;-12.939915;-38.410541;Paralela;;
68;EUROVIA AFOGADOS;;reenviado (ja aprovado pela DSP);50750-000 Estrada dos Remédios 1780 ILHA DO RETIRO PE Recife;Estrada dos Remedios 1780 ILHA DO RETIRO Recife PE 50750000 Brazil;Recife;PE;50750000;-8.080.256.799.999.990;-349.066.444;-8.080257;-34.906644;;;
69;EUROVIA CAXANGA;;reenviado (ja aprovado pela DSP);50800-000 Avenida Caxangá 4210 Iputinga PE Recife;Avenida Caxanga 4210 Iputinga Recife PE 50800000 Brazil;Recife;PE;50800000;-8.038.138;-349.427.809;-8.038138;-34.942781;;;
70;EUROVIA IMBIRIBEIRA;;reenviado (ja aprovado pela DSP);51180-001 Av. Marechal Mascarenhas de Moraes 2160 IMBIRIBEIRA PE Recife;Av Marechal Mascarenhas de Moraes 2160 IMBIRIBEIRA Recife PE 51180001 Brazil;Recife;PE;51180001;-81.101.618;-3.491.266.299.999.990;-8.110162;-34.912663;;;
71;EUROVIA JABOATÃO DOS GUARARAPES;;reenviado (ja aprovado pela DSP);54330-000 Avenida Barreto de Menezes 697 Cajueiro Seco PE Jaboatão dos Guararapes;Avenida Barreto de Menezes 697 Cajueiro Seco Jaboatao dos Guararapes PE 54330000 Brazil;Jaboatão dos Guararapes;PE;54330000;-8.169.146.399.999.990;-349.212.861;-8.169146;-34.921286;;;
72;EUROVIA LAURO DE FREITAS;;endereco;42700-000 Av. Santos Dumont 2376 ITINGA BA Lauro de Freitas;Avenida Santos Dumont 2376 Lauro de Freitas BA 42700000 Brazil;Lauro de Freitas;BA;42700000;-12.899.139;-38.331.622;-12.899139;-38.331622;ITINGA;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
73;EUROVIA SALVADOR;;reenviado (ja aprovado pela DSP);41950-000 Av. Antônio Carlos Magalhães 4925 IGUATEMI BA Salvador;Av Antonio Carlos Magalhaes 4925 IGUATEMI Salvador BA 41950000 Brazil;Salvador;BA;41950000;-129.782.887;-384.738.118;-12.978289;-38.473812;;;
74;EUROVIA SALVADOR II;;reenviado (ja aprovado pela DSP);40295-140 Avenida Juracy Magalhães Júnior 1054 Horto Florestal BA Salvador;Avenida Juracy Magalhaes Junior 1054 Horto Florestal Salvador BA 40295140 Brazil;Salvador;BA;40295140;-13.005.955;-384.855.605;-13.005955;-38.48556;;;
75;FORT AV. ROGACIANO LEITE;;reenviado (ja aprovado pela DSP);60810-786 Avenida Rogaciano Leite 688 Patriolino Ribeiro CE Fortaleza;Avenida Rogaciano Leite 688 Patriolino Ribeiro Fortaleza CE 60810786 Brazil;Fortaleza;CE;60810786;-37.635.946;-3.849.481.189.999.990;-3.763595;-38.494812;;;
