linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
1431;Instituto Boa Vista;;endereco;R. das Ninfas, 84 - Soledade, Recife - PE, 50070-050;Rua das Ninfas 84 Recife PE 50070050 Brazil;Recife;PE;50070050;-8.0596812;-34.8912355;-8.059681;-34.891236;- Soledade;;
1432;SPCINE MENINOS;;endereco;R. BARBINOS, 111 - SÃO JOÃO CLIMACO, SÃO PAULO - SP, 04240-110;Rua BARBINOS 111 Sao Paulo SP 04240110 Brazil;São Paulo;SP;04240110;-23.6214217;-46.5843757;-23.621422;-46.584376;- SÃO JOÃO CLIMACO;;
1433;PETRA BELAS ARTES;;endereco;R. DA CONSOLAÇÃO, 2423 - CONSOLAÇÃO, SÃO PAULO - SP, 01301-100;Rua DA CONSOLACAO 2423 Sao Paulo SP 01301100 Brazil;São Paulo;SP;01301100;-23.555668;-46.6622988;-23.555668;-46.662299;- CONSOLAÇÃO;;
1434;CINE TROPICAL - ASSISTA 3 FILMES INÉDITOS;;endereco;R. MAJ. ANTÔNIO DOMINGUES, 63 - CENTRO, SÃO JOSÉ DOS CAMPOS - SP, 12245-750;Rua MAJ ANTONIO DOMINGUES 63 Sao Jose dos Campos SP 12245750 Brazil;São José dos Campos;SP;12245750;-23.1888215;-45.88733;-23.188821;-45.88733;- CENTRO;;
1435;NATIONAL ARTS CENTER;;endereco;ESTR. DO PAU-FERRO, 1261 - FREGUESIA DE JACAREPAGUÁ, RIO DE JANEIRO - RJ, 22745-090;Estrada DO PAU FERRO 1261 Rio de Janeiro RJ 22745090 Brazil;Rio de Janeiro;RJ;22745090;-22.9314078;-43.3275577;-22.931408;-43.327558;- FREGUESIA DE JACAREPAGUÁ;ALTO;endereco de rodovia (57-67% falharam)
1436;ROSALIE;;endereco;R. JOSÉ ANDRADA COSTA, 230 - COQUEIROS, BELO HORIZONTE - MG, 30881-050;Rua JOSE ANDRADA COSTA 230 Belo Horizonte MG 30881050 Brazil;Belo Horizonte;MG;30881050;-19.8995674;-44.0230055;-19.899567;-44.023005;- COQUEIROS;;
1437;SEM TÍTULO FILMES;;endereco;R. ALTEVIR DE LARA - AFONSO PENA, SÃO JOSÉ DOS PINHAIS - PR, 83045-220;Rua ALTEVIR DE LARA AFONSO PENA Sao Jose dos Pinhais PR 83045220 Brazil;São José dos Pinhais;PR;83045220;-25.5081153;-49.187218;-25.508115;-49.187218;;ALTO;sem numero de porta
1438;ANTIGO CINEMA;;endereco;R. BORGES DE MEDEIROS, 2-126 - CENTRO, SÃO JOSÉ DO NORTE - RS, 96225-000;Rua BORGES DE MEDEIROS 2 126 CENTRO Sao Jose do Norte RS 96225000 Brazil;São José do Norte;RS;96225000;-32.0153343;-52.0431598;-32.015334;-52.04316;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
1439;CIRCUITO SPCINE ARICANDUVA 2;;endereco;AV. OLGA FADEL ABARCA, 5825 - JARDIM SANTA TEREZINHA, SÃO PAULO - SP, 03572-020;Avenida OLGA FADEL ABARCA 5825 Sao Paulo SP 03572020 Brazil;São Paulo;SP;03572020;-23.5702228;-46.502828;-23.570223;-46.502828;- JARDIM SANTA TEREZINHA;;
1440;FUTURO É AGORA;;endereco;R. DO PINTO - SANTO CRISTO, RIO DE JANEIRO - RJ, 20220-200;Rua DO PINTO SANTO CRISTO Rio de Janeiro RJ 20220200 Brazil;Rio de Janeiro;RJ;20220200;-22.9034738;-43.2012037;-22.903474;-43.201204;;ALTO;sem numero de porta
